Nature of Offense,Incident Location,City,State,Country,Latitude,Longitude
Criminal Sexual Conduct - Rape,500 Harvard St SE,Minneapolis,Minnesota,United States of America,44.97101265,-93.23144466768856
Assault,500 Harvard St SE,Minneapolis,Minnesota,United States of America,44.97101265,-93.23144466768856
Theft,500 Harvard St SE,Minneapolis,Minnesota,United States of America,44.97101265,-93.23144466768856
Assault,500 Harvard St SE,Minneapolis,Minnesota,United States of America,44.97101265,-93.23144466768856
Assault w/ Dangerous Weapon,500 Harvard St SE,Minneapolis,Minnesota,United States of America,44.97101265,-93.23144466768856
Assault,500 Harvard St SE,Minneapolis,Minnesota,United States of America,44.97101265,-93.23144466768856
Theft,500 Harvard St SE,Minneapolis,Minnesota,United States of America,44.97101265,-93.23144466768856
Bike Theft,500 Harvard St SE,Minneapolis,Minnesota,United States of America,44.97101265,-93.23144466768856
Theft,500 Harvard St SE,Minneapolis,Minnesota,United States of America,44.97101265,-93.23144466768856
Theft,500 Pillsbury Dr SE,Minneapolis,Minnesota,United States of America,44.97623245,-93.23143383168141
Theft,501 Washington Ave SE,Minneapolis,Minnesota,United States of America,44.974329600000004,-93.23025977189653
Stalking,505 Washington Ave S,Minneapolis,Minnesota,United States of America,44.97869534693877,-93.26121116326532
Bike Theft,515 Delaware St SE,Minneapolis,Minnesota,United States of America,44.97290475,-93.23142055864159
Bike Theft,515 Delaware St SE,Minneapolis,Minnesota,United States of America,44.97290475,-93.23142055864159
Bike Theft,515 Delaware St SE,Minneapolis,Minnesota,United States of America,44.97290475,-93.23142055864159
