Nature of Offense,Incident Location,City,State,Country,Latitude,Longitude
Bike Theft,200 Union St SE,Minneapolis,Minnesota,United States of America,44.9747577,-93.2325142
Bike Theft,200 Union St SE,Minneapolis,Minnesota,United States of America,44.9747577,-93.2325142
Bike Theft,200 Union St SE,Minneapolis,Minnesota,United States of America,44.9747577,-93.2325142
Bike Theft,200 Union St SE,Minneapolis,Minnesota,United States of America,44.9747577,-93.2325142
Bike Theft,200 Union St SE,Minneapolis,Minnesota,United States of America,44.9747577,-93.2325142
Bike Theft,200 Union St SE,Minneapolis,Minnesota,United States of America,44.9747577,-93.2325142
Theft,200 Union St SE,Minneapolis,Minnesota,United States of America,44.9747577,-93.2325142
Bike Theft,2001 6th St SE,Minneapolis,Minnesota,United States of America,44.9792638,-93.2252637
Bike Theft,2001 6th St SE,Minneapolis,Minnesota,United States of America,44.9792638,-93.2252637
Theft,2001 Bloomington Ave,Minneapolis,Minnesota,United States of America,44.9620691,-93.2518308
Bike Theft,2001 Bloomington Ave,Minneapolis,Minnesota,United States of America,44.9620691,-93.2518308
Theft,2001 Bloomington Ave,Minneapolis,Minnesota,United States of America,44.9620691,-93.2518308
Theft,2009 University Ave SE,Minneapolis,Minnesota,United States of America,44.9756227,-93.2257624
Theft,2009 University Ave SE,Minneapolis,Minnesota,United States of America,44.9756227,-93.2257624
Bike Theft,2010 6th St SE,Minneapolis,Minnesota,United States of America,44.9781903,-93.22458650000002
Bike Theft,2025 E River Rd,Minneapolis,Minnesota,United States of America,44.9774165,-93.2387419
Theft,2046 Knapp St,Minneapolis,Minnesota,United States of America,44.9788556,-93.1867316
Bike Theft,2046 Knapp St,Minneapolis,Minnesota,United States of America,44.9788556,-93.1867316
Bike Theft,206 Church St SE,Minneapolis,Minnesota,United States of America,44.974533,-93.23426719999999
Bike Theft,206 Church St SE,Minneapolis,Minnesota,United States of America,44.974533,-93.23426719999999
Theft,207 Church St SE,Minneapolis,Minnesota,United States of America,44.9744394,-93.23356079999999
Bike Theft,207 Church St SE,Minneapolis,Minnesota,United States of America,44.9744394,-93.23356079999999
Indecent Conduct,207 Pleasant St SE,Minneapolis,Minnesota,United States of America,44.9746746,-93.2364356
Bike Theft,207 Pleasant St SE,Minneapolis,Minnesota,United States of America,44.9746746,-93.2364356
Bike Theft,207 Pleasant St SE,Minneapolis,Minnesota,United States of America,44.9746746,-93.2364356
Theft,21 11th Ave SE,Minneapolis,Minnesota,United States of America,44.9855712,-93.2372254
Theft,210 Delaware St SE,Minneapolis,Minnesota,United States of America,44.9724446,-93.23683799999999
Bike Theft,210 Delaware St SE,Minneapolis,Minnesota,United States of America,44.9724446,-93.23683799999999
Bike Theft,210 Delaware St SE,Minneapolis,Minnesota,United States of America,44.9724446,-93.23683799999999
Bike Theft,210 Delaware St SE,Minneapolis,Minnesota,United States of America,44.9724446,-93.23683799999999
Bike Theft,210 Delaware St SE,Minneapolis,Minnesota,United States of America,44.9724446,-93.23683799999999
Criminal Sexual Conduct - Rape,210 Delaware St SE,Minneapolis,Minnesota,United States of America,44.9724446,-93.23683799999999
Fondling,210 Delaware St SE,Minneapolis,Minnesota,United States of America,44.9724446,-93.23683799999999
Fondling,210 Delaware St SE,Minneapolis,Minnesota,United States of America,44.9724446,-93.23683799999999
Bike Theft,220 Delaware St SE,Minneapolis,Minnesota,United States of America,44.9718999,-93.2360684
Bike Theft,220 Delaware St SE,Minneapolis,Minnesota,United States of America,44.9718999,-93.2360684
